City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mount darwin,-16.7725,31.5838,49.69,94.0,11.0,2.73,ZW,1627776267.0
mar del plata,-38.0023,-57.5575,49.12,28.0,36.0,7.0,AR,1627776000.0
kapaa,22.0752,-159.319,88.12,68.0,20.0,5.01,US,1627776268.0
bajos de haina,18.4154,-70.0332,82.33,85.0,22.0,5.03,DO,1627776268.0
phalodi,27.1333,72.3667,86.59,63.0,93.0,16.91,IN,1627776268.0
chaman,30.9236,66.4512,76.95,19.0,1.0,6.71,PK,1627776269.0
ploemeur,47.7333,-3.4333,60.82,96.0,0.0,4.61,FR,1627776269.0
comodoro rivadavia,-45.8667,-67.5,47.25,47.0,45.0,15.86,AR,1627776002.0
georgetown,5.4112,100.3354,78.73,92.0,40.0,3.44,MY,1627776270.0
bethel,41.3712,-73.414,71.96,72.0,1.0,3.44,US,1627776270.0
makanya,-4.3667,37.8333,62.4,88.0,77.0,4.36,TZ,1627776271.0
chitrakonda,18.1167,82.0833,71.89,97.0,98.0,3.51,IN,1627776271.0
ahipara,-35.1667,173.1667,59.49,61.0,8.0,5.55,NZ,1627776114.0
katsuura,35.1333,140.3,86.14,75.0,68.0,4.74,JP,1627776272.0
neuquen,-38.9516,-68.0591,49.24,53.0,17.0,8.52,AR,1627776008.0
tasiilaq,65.6145,-37.6368,46.56,82.0,49.0,4.18,GL,1627776273.0
nikolskoye,59.7035,30.7861,61.81,98.0,41.0,5.64,RU,1627776273.0
mount gambier,-37.8333,140.7667,49.28,84.0,11.0,7.4,AU,1627776273.0
garden city,42.3256,-83.331,79.05,54.0,20.0,1.01,US,1627776215.0
alvorada,-12.48,-49.1247,81.55,36.0,95.0,4.99,BR,1627776274.0
danilovka,50.3557,44.1168,70.0,68.0,58.0,3.76,RU,1627776274.0
atuona,-9.8,-139.0333,76.91,69.0,57.0,13.71,PF,1627776275.0
the valley,18.217,-63.0578,83.1,79.0,1.0,17.0,AI,1627776275.0
broome,42.2506,-75.833,66.65,59.0,1.0,0.0,US,1627776276.0
nova friburgo,-22.2819,-42.5311,49.42,96.0,90.0,2.08,BR,1627776276.0
port talbot,51.5924,-3.7802,60.98,87.0,67.0,4.65,GB,1627776276.0
burns lake,54.2331,-125.7533,90.75,18.0,0.0,5.01,CA,1627776009.0
kaitangata,-46.2817,169.8464,49.1,97.0,100.0,2.51,NZ,1627776277.0
inverell,-29.7833,151.1167,65.1,75.0,0.0,3.0,AU,1627776277.0
acari,-15.4311,-74.6158,67.39,67.0,63.0,3.8,PE,1627776278.0
greymouth,-42.4667,171.2,55.44,75.0,100.0,4.88,NZ,1627775982.0
ulaangom,49.9811,92.0667,59.25,66.0,100.0,4.54,MN,1627776278.0
souillac,-20.5167,57.5167,69.37,80.0,12.0,14.05,MU,1627776279.0
caucaia,-3.7361,-38.6531,80.04,76.0,70.0,8.93,BR,1627776129.0
bredasdorp,-34.5322,20.0403,53.28,89.0,100.0,5.14,ZA,1627776279.0
kavaratti,10.5669,72.642,81.16,81.0,18.0,15.52,IN,1627775997.0
victoria,22.2855,114.1577,86.38,89.0,99.0,5.01,HK,1627776170.0
maturin,9.75,-63.1767,74.41,94.0,36.0,5.68,VE,1627776280.0
kogon,39.7228,64.5517,75.24,29.0,0.0,11.5,UZ,1627776281.0
haldensleben,52.2891,11.4098,61.92,94.0,42.0,8.81,DE,1627776281.0
pisco,-13.7,-76.2167,63.01,82.0,9.0,10.36,PE,1627776281.0
pangnirtung,66.1451,-65.7125,53.02,63.0,100.0,3.98,CA,1627776282.0
dumas,35.8656,-101.9732,87.94,27.0,40.0,6.91,US,1627776282.0
shingu,33.7333,135.9833,83.91,66.0,29.0,2.75,JP,1627776283.0
lufilufi,-13.8745,-171.5986,85.78,79.0,46.0,22.17,WS,1627776283.0
leningradskiy,69.3833,178.4167,34.86,87.0,100.0,18.34,RU,1627776283.0
las vegas,36.175,-115.1372,95.43,42.0,1.0,8.05,US,1627776137.0
pevek,69.7008,170.3133,37.15,77.0,95.0,11.14,RU,1627776284.0
shache,38.4167,77.2406,79.48,33.0,100.0,17.87,CN,1627776284.0
portland,45.5234,-122.6762,88.52,48.0,99.0,8.34,US,1627776006.0
taoudenni,22.6783,-3.9836,101.68,13.0,1.0,8.1,ML,1627776022.0
harper,4.375,-7.7169,76.46,85.0,100.0,11.14,LR,1627776285.0
cockburn town,21.4612,-71.1419,82.29,82.0,31.0,19.13,TC,1627776066.0
san cristobal,7.7669,-72.225,77.18,98.0,51.0,5.03,VE,1627776286.0
codajas,-3.8367,-62.0569,77.02,59.0,70.0,1.39,BR,1627776286.0
yulara,-25.2406,130.9889,57.78,54.0,23.0,7.11,AU,1627776076.0
abu samrah,35.3029,37.1841,77.79,50.0,0.0,6.73,SY,1627776287.0
olinda,-8.0089,-34.8553,75.85,80.0,17.0,14.5,BR,1627776115.0
tocopilla,-22.092,-70.1979,63.95,70.0,23.0,8.55,CL,1627776287.0
zlin,49.2267,17.6663,69.6,86.0,96.0,1.97,CZ,1627776287.0
gizo,-8.103,156.8419,82.0,75.0,93.0,16.96,SB,1627776288.0
tiznit,29.5833,-9.5,79.16,42.0,9.0,2.84,MA,1627776288.0
bucak,37.4592,30.595,77.04,33.0,0.0,7.07,TR,1627776289.0
yakovlevka,44.425,133.4772,82.71,58.0,20.0,7.18,RU,1627776289.0
espoo,60.25,24.6667,62.01,86.0,20.0,5.75,FI,1627776290.0
mandera,3.9366,41.867,77.14,56.0,100.0,18.41,KE,1627776290.0
ahuimanu,21.4447,-157.8378,89.31,59.0,40.0,17.27,US,1627776290.0
ngunguru,-35.6167,174.5,62.17,64.0,9.0,11.92,NZ,1627776291.0
carnarvon,-24.8667,113.6333,61.29,59.0,45.0,9.84,AU,1627776048.0
beatrice,40.2681,-96.747,81.73,73.0,1.0,6.91,US,1627776291.0
grande prairie,55.1667,-118.8027,92.88,23.0,11.0,7.99,CA,1627776292.0
palana,59.1167,159.9667,48.69,62.0,97.0,12.12,RU,1627776292.0
cochrane,51.1834,-114.4687,88.39,21.0,2.0,10.0,CA,1627776014.0
kutum,14.2,24.6667,70.7,79.0,93.0,17.0,SD,1627776293.0
evreux,49.0241,1.1508,58.06,88.0,90.0,3.44,FR,1627776293.0
awbari,26.5921,12.7805,85.84,16.0,0.0,7.25,LY,1627776021.0
pathein,16.7833,94.7333,79.47,89.0,100.0,9.62,MM,1627776294.0
kijang,35.2442,129.2139,83.08,76.0,35.0,0.96,KR,1627776294.0
saskylakh,71.9167,114.0833,75.92,34.0,0.0,9.55,RU,1627776294.0
tuatapere,-46.1333,167.6833,49.82,95.0,100.0,1.25,NZ,1627776295.0
anori,-3.7728,-61.6442,77.02,59.0,44.0,2.21,BR,1627776295.0
baiyin,36.5583,104.2081,76.39,27.0,10.0,4.88,CN,1627776296.0
muros,42.7762,-9.0603,62.83,85.0,89.0,2.51,ES,1627776039.0
ambilobe,-13.2,49.05,62.24,72.0,0.0,4.23,MG,1627776296.0
ardakan,32.31,54.0175,85.89,19.0,59.0,5.91,IR,1627776297.0
pauini,-7.7136,-66.9764,72.95,44.0,39.0,2.37,BR,1627776297.0
saint-pierre,-21.3393,55.4781,65.84,72.0,20.0,5.75,RE,1627776298.0
luwuk,-0.9516,122.7875,81.18,78.0,30.0,4.92,ID,1627776298.0
anadyr,64.75,177.4833,48.7,61.0,20.0,5.99,RU,1627776298.0
yakeshi,49.2833,120.7333,55.94,91.0,100.0,3.8,CN,1627776299.0
walvis bay,-22.9575,14.5053,73.09,21.0,0.0,8.88,NA,1627776299.0
los llanos de aridane,28.6585,-17.9182,68.13,85.0,20.0,17.27,ES,1627776299.0
cherskiy,68.75,161.3,41.81,91.0,100.0,12.3,RU,1627776300.0
kuala terengganu,5.3302,103.1408,77.77,87.0,99.0,3.91,MY,1627776300.0
tiksi,71.6872,128.8694,41.86,84.0,91.0,8.99,RU,1627776301.0
juneau,58.3019,-134.4197,79.11,100.0,79.0,0.58,US,1627776029.0
inhambane,-23.865,35.3833,63.1,80.0,0.0,5.12,MZ,1627776301.0
te anau,-45.4167,167.7167,48.42,96.0,100.0,1.12,NZ,1627776302.0
longyearbyen,78.2186,15.6401,44.44,70.0,75.0,8.05,SJ,1627776303.0
puerto ayora,-0.7393,-90.3518,71.55,89.0,43.0,5.99,EC,1627776303.0
tonantins,-2.8731,-67.8022,72.7,69.0,70.0,1.5,BR,1627776304.0
corner brook,48.9667,-57.9484,57.33,93.0,93.0,3.98,CA,1627776304.0
mashhad,36.297,59.6062,68.14,37.0,0.0,0.0,IR,1627776036.0
san quintin,30.4833,-115.95,74.34,71.0,1.0,15.26,MX,1627776305.0
lorengau,-2.0226,147.2712,84.69,68.0,45.0,6.93,PG,1627776305.0
sibundoy,1.2048,-76.9237,55.31,99.0,98.0,2.8,CO,1627776305.0
huzhou,30.8703,120.0933,81.91,85.0,99.0,3.67,CN,1627776306.0
florence,43.7667,11.25,78.48,74.0,40.0,3.44,IT,1627776307.0
payson,40.0444,-111.7321,88.43,51.0,1.0,18.41,US,1627776307.0
severo-yeniseyskiy,60.3725,93.0408,57.02,56.0,37.0,2.93,RU,1627776308.0
quatre cocos,-20.2078,57.7625,69.1,71.0,3.0,15.37,MU,1627776308.0
san patricio,28.017,-97.5169,92.12,60.0,54.0,15.93,US,1627776308.0
kathu,7.9178,98.3332,82.22,79.0,100.0,18.57,TH,1627776309.0
buraydah,26.326,43.975,86.04,12.0,1.0,6.35,SA,1627776305.0
kamen-na-obi,53.7884,81.3423,63.55,39.0,83.0,4.7,RU,1627776309.0
mahebourg,-20.4081,57.7,69.26,74.0,9.0,15.73,MU,1627776310.0
srednebelaya,50.6594,128.0106,55.78,97.0,100.0,14.16,RU,1627776310.0
kholodnyy,62.7167,147.95,67.26,37.0,55.0,13.47,RU,1627776310.0
wanaka,-44.7,169.15,48.11,99.0,100.0,1.01,NZ,1627776033.0
grand gaube,-20.0064,57.6608,69.39,75.0,0.0,5.99,MU,1627776311.0
oranjemund,-28.55,16.4333,64.98,31.0,2.0,2.42,NA,1627776311.0
iqaluit,63.7506,-68.5145,54.7,66.0,67.0,10.42,CA,1627776312.0
east london,-33.0153,27.9116,66.51,24.0,96.0,6.64,ZA,1627776312.0
kingaroy,-26.5333,151.8333,60.84,100.0,90.0,11.5,AU,1627776312.0
coihaique,-45.5752,-72.0662,31.95,86.0,0.0,3.44,CL,1627776313.0
fort nelson,58.8053,-122.7002,89.8,24.0,0.0,3.2,CA,1627776014.0
luanda,-8.8368,13.2343,70.2,90.0,18.0,2.64,AO,1627776313.0
batsfjord,70.6345,29.7185,47.91,95.0,100.0,5.39,NO,1627776314.0
lasem,-6.6922,111.4527,76.8,77.0,66.0,6.62,ID,1627776314.0
belmonte,-15.8631,-38.8828,70.05,72.0,97.0,13.94,BR,1627776315.0
batemans bay,-35.7167,150.1833,59.99,82.0,27.0,9.6,AU,1627776315.0
porosozero,62.7191,32.727,52.83,97.0,9.0,4.54,RU,1627776315.0
salisbury,51.0693,-1.7957,61.48,93.0,40.0,5.66,GB,1627776148.0
socorro,31.6546,-106.3033,93.9,31.0,75.0,13.8,US,1627776316.0
carutapera,-1.195,-46.02,74.71,93.0,25.0,3.51,BR,1627776316.0
pyaozerskiy,65.8333,31.1667,49.62,91.0,90.0,0.65,RU,1627776317.0
cairns,-16.9167,145.7667,81.95,73.0,35.0,5.75,AU,1627776069.0
faanui,-16.4833,-151.75,77.38,66.0,99.0,16.28,PF,1627776317.0
norman wells,65.282,-126.8329,84.96,29.0,29.0,4.45,CA,1627776318.0
ewa beach,21.3156,-158.0072,89.55,52.0,20.0,12.66,US,1627776318.0
votkinsk,57.0486,53.9872,63.77,94.0,26.0,6.22,RU,1627776318.0
itaueira,-7.6033,-43.0256,74.71,65.0,17.0,12.44,BR,1627776319.0
culaman,5.9603,125.6586,82.76,76.0,96.0,2.55,PH,1627776319.0
tankhoy,51.5528,105.1306,61.72,85.0,86.0,4.03,RU,1627776320.0
hobyo,5.3505,48.5268,75.65,83.0,85.0,22.39,SO,1627776320.0
qaanaaq,77.484,-69.3632,41.05,88.0,94.0,3.53,GL,1627776320.0
bambous virieux,-20.3428,57.7575,69.22,72.0,7.0,15.82,MU,1627776321.0
tooele,40.5308,-112.2983,89.19,57.0,75.0,8.05,US,1627776200.0
urman,54.8831,56.8742,61.34,97.0,75.0,4.92,RU,1627776321.0
itarema,-2.9248,-39.9167,78.73,82.0,83.0,16.24,BR,1627776322.0
illapel,-31.6308,-71.1653,60.87,51.0,19.0,2.28,CL,1627776322.0
samarai,-10.6167,150.6667,78.49,65.0,89.0,13.82,PG,1627776323.0
moroto,2.5345,34.6666,66.36,81.0,100.0,4.41,UG,1627776323.0
aklavik,68.2191,-135.0107,79.74,35.0,89.0,15.5,CA,1627776323.0
yerbogachen,61.2767,108.0108,65.73,46.0,2.0,8.79,RU,1627776037.0
amahai,-3.3333,128.9167,79.99,82.0,56.0,1.5,ID,1627776324.0
luganville,-15.5333,167.1667,76.37,55.0,100.0,8.48,VU,1627776324.0
tibati,6.4667,12.6333,67.35,96.0,100.0,2.06,CM,1627776325.0
asau,46.4333,26.4,68.92,67.0,18.0,6.02,RO,1627776325.0
nkhotakota,-12.9274,34.2961,69.46,67.0,79.0,16.6,MW,1627776325.0
fort saint james,54.4333,-124.25,90.79,21.0,33.0,4.65,CA,1627776326.0
dryden,49.7833,-92.7503,71.13,36.0,84.0,11.36,CA,1627776326.0
bonthe,7.5264,-12.505,75.31,89.0,100.0,5.73,SL,1627776097.0
nanortalik,60.1432,-45.2371,47.64,82.0,91.0,11.18,GL,1627776327.0
waddan,29.1614,16.139,86.63,18.0,0.0,7.34,LY,1627776327.0
kununurra,-15.7667,128.7333,76.98,69.0,3.0,0.0,AU,1627776328.0
klaksvik,62.2266,-6.589,47.32,78.0,89.0,12.28,FO,1627776328.0
kudahuvadhoo,2.6708,72.8944,81.37,76.0,99.0,6.76,MV,1627776328.0
zheleznodorozhnyy,55.7503,38.0042,65.14,66.0,57.0,5.79,RU,1627776329.0
metro,-5.1131,105.3067,75.42,89.0,14.0,3.36,ID,1627776329.0
torrington,41.8007,-73.1212,69.15,73.0,1.0,1.7,US,1627776329.0
slave lake,55.2834,-114.769,87.37,29.0,0.0,3.33,CA,1627776228.0
dwarka,22.2394,68.9678,81.45,83.0,100.0,24.63,IN,1627776330.0
isangel,-19.55,169.2667,72.82,51.0,5.0,15.68,VU,1627776330.0
fuerte olimpo,-21.0415,-57.8738,69.78,19.0,100.0,9.75,PY,1627776331.0
yumen,40.2833,97.2,75.25,25.0,96.0,18.66,CN,1627776331.0
ketchikan,55.3422,-131.6461,70.27,64.0,1.0,16.11,US,1627776331.0
honiara,-9.4333,159.95,83.52,69.0,87.0,3.4,SB,1627776332.0
banposh,22.25,84.8,74.93,93.0,100.0,3.89,IN,1627776332.0
pizarro,4.9533,-77.366,79.52,88.0,83.0,7.02,CO,1627776333.0
zvecka,44.6389,20.1647,73.63,68.0,18.0,5.3,RS,1627776333.0
qinzhou,21.95,108.6167,79.41,93.0,100.0,8.7,CN,1627776334.0
kintampo,8.0563,-1.7306,70.74,94.0,94.0,6.13,GH,1627776334.0
west wendover,40.7391,-114.0733,85.21,32.0,1.0,17.27,US,1627776334.0
zhanaozen,43.3,52.8,83.14,22.0,25.0,6.06,KZ,1627776335.0
ilulissat,69.2167,-51.1,55.42,50.0,48.0,9.22,GL,1627776335.0
hasaki,35.7333,140.8333,84.6,79.0,38.0,4.88,JP,1627776336.0
greenwood,34.1668,-82.1165,87.8,76.0,1.0,0.0,US,1627776336.0
cayenne,4.9333,-52.3333,83.08,80.0,20.0,3.0,GF,1627776336.0
vysokogornyy,50.1167,139.15,64.76,80.0,98.0,3.78,RU,1627776337.0
labuhan,-6.8844,112.2051,77.41,78.0,60.0,7.2,ID,1627776337.0
chuy,-33.6971,-53.4616,47.52,92.0,0.0,4.61,UY,1627776338.0
moranbah,-22.0016,148.0466,73.35,59.0,0.0,4.99,AU,1627776338.0
nome,64.5011,-165.4064,49.15,92.0,100.0,17.07,US,1627776048.0
kloulklubed,7.0419,134.2556,79.3,72.0,92.0,10.47,PW,1627776339.0
saint-philippe,-21.3585,55.7679,65.75,83.0,38.0,13.09,RE,1627776339.0
sabya,17.1495,42.6254,84.47,62.0,90.0,5.97,SA,1627776340.0
havoysund,70.9963,24.6622,45.48,86.0,100.0,6.02,NO,1627776340.0
pangody,65.85,74.4859,49.6,77.0,19.0,6.85,RU,1627776341.0
rawson,-43.3002,-65.1023,44.15,47.0,1.0,14.03,AR,1627776341.0
morro bay,35.3658,-120.8499,88.68,62.0,22.0,3.0,US,1627776341.0
faya,18.3851,42.4509,61.32,72.0,99.0,4.68,SA,1627776342.0
srednekolymsk,67.45,153.6833,36.95,98.0,100.0,12.95,RU,1627776342.0
aras,42.5617,-2.356,55.81,67.0,75.0,6.91,ES,1627776342.0
ajaccio,42.0,8.9167,75.69,78.0,75.0,2.3,FR,1627776169.0
beringovskiy,63.05,179.3167,45.86,69.0,91.0,0.92,RU,1627776343.0
santa rosalia,27.3167,-112.2833,88.75,48.0,1.0,5.17,MX,1627776344.0
padang,-0.9492,100.3543,76.51,86.0,100.0,2.98,ID,1627776300.0
culebra,18.303,-65.301,83.19,80.0,12.0,15.86,PR,1627776344.0
laguna,38.421,-121.4238,102.9,31.0,1.0,5.99,US,1627776344.0
husavik,66.0449,-17.3389,53.67,72.0,88.0,2.82,IS,1627776345.0
palma del rio,37.7002,-5.2812,77.32,37.0,64.0,4.23,ES,1627776345.0
north bend,43.4065,-124.2243,79.25,88.0,75.0,13.8,US,1627776308.0
calabazar de sagua,22.6447,-79.8961,80.82,81.0,18.0,8.52,CU,1627776346.0
erzin,36.9559,36.2,79.52,83.0,1.0,1.39,TR,1627776346.0
moron,-34.6534,-58.6198,54.99,74.0,20.0,2.57,AR,1627776108.0
muzhi,65.3667,64.6667,51.42,77.0,99.0,6.33,RU,1627776347.0
fevik,58.3794,8.6766,56.97,81.0,95.0,12.17,NO,1627776347.0
chifeng,42.2683,118.9636,66.52,77.0,100.0,14.58,CN,1627776256.0
cudalbi,45.7833,27.7,69.08,84.0,44.0,8.23,RO,1627776348.0
bosaso,11.2842,49.1816,86.92,38.0,46.0,18.99,SO,1627776348.0
bjornevatn,69.6672,29.9847,48.54,100.0,90.0,4.61,NO,1627776348.0
touros,-5.1989,-35.4608,76.01,82.0,73.0,16.02,BR,1627776349.0
semey,50.4111,80.2275,61.02,44.0,0.0,8.95,KZ,1627776349.0
hami,42.8,93.45,77.2,39.0,100.0,7.65,CN,1627776349.0
luderitz,-26.6481,15.1594,67.59,25.0,0.0,7.87,NA,1627776350.0
